:END_ID(VOCAB-ID),:START_ID(VOCAB-ID),OriginalSource:string,Type:string,:TYPE,Source
HGNC_5969,HGNC_5971,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5971,HGNC_5969,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5970,HGNC_5971,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5971,HGNC_5970,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5970,HGNC_19100,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_19100,HGNC_5970,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_15488,HGNC_5971,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5971,HGNC_15488,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_15488,HGNC_19100,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_19100,HGNC_15488,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_3129,HGNC_17290,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_17290,HGNC_3129,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_3129,HGNC_6021,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6021,HGNC_3129,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16948,HGNC_17290,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_17290,HGNC_16948,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16948,HGNC_6021,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6021,HGNC_16948,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5981,HGNC_5985,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5985,HGNC_5981,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5981,HGNC_18358,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_18358,HGNC_5981,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16404,HGNC_5985,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5985,HGNC_16404,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16404,HGNC_18358,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_18358,HGNC_16404,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5969,HGNC_6021,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6021,HGNC_5969,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_18788,HGNC_14893,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_14893,HGNC_18788,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16977,HGNC_14893,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_14893,HGNC_16977,Induces NK Cell Activation. Reviewed in PMID: 24223577,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5994,HGNC_5992,"3o4o, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5992,HGNC_5994,"3o4o, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5995,HGNC_5992,"3o4o, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5992,HGNC_5995,"3o4o, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5974,HGNC_6014,"3bpn, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6014,HGNC_5974,"3bpn, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6015,HGNC_6014,"3bpn, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_6014,HGNC_6015,"3bpn, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_1077,HGNC_1071,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1071,HGNC_1077,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1078,HGNC_1071,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1071,HGNC_1078,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_9099,HGNC_16770,PMID: 22325954,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16770,HGNC_9099,PMID: 22325954,receptor_of,Curated_relationship,CellPhoneDB
HGNC_17761,HGNC_16770,PMID: 22325954,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16770,HGNC_17761,PMID: 22325954,receptor_of,Curated_relationship,CellPhoneDB
HGNC_12449,HGNC_16770,PMID: 22325954,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16770,HGNC_12449,PMID: 22325954,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_1071,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1071,HGNC_1076,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_1071,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1071,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1077,HGNC_21650,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_21650,HGNC_1077,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_21650,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_21650,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4439,HGNC_12726,"1m10, PDB partially . Platets needed for its activation.",receptor_of,Curated_relationship,CellPhoneDB
HGNC_12726,HGNC_4439,"1m10, PDB partially . Platets needed for its activation.",receptor_of,Curated_relationship,CellPhoneDB
HGNC_4440,HGNC_12726,"1m10, PDB partially . Platets needed for its activation.",receptor_of,Curated_relationship,CellPhoneDB
HGNC_12726,HGNC_4440,"1m10, PDB partially . Platets needed for its activation.",receptor_of,Curated_relationship,CellPhoneDB
HGNC_175,HGNC_4217,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4217,HGNC_175,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1078,HGNC_4217,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4217,HGNC_1078,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_21650,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_21650,HGNC_1076,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_174,HGNC_21650,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_21650,HGNC_174,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_2436,HGNC_2434,"4nkq, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_2434,HGNC_2436,"4nkq, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_2435,HGNC_2434,"4nkq, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_2434,HGNC_2435,"4nkq, PDB",receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_1073,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1073,HGNC_1076,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_1073,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1073,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1077,HGNC_4222,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4222,HGNC_1077,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1078,HGNC_4222,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4222,HGNC_1078,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1077,HGNC_4221,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4221,HGNC_1077,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_174,HGNC_4221,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4221,HGNC_174,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_171,HGNC_1074,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1074,HGNC_171,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_174,HGNC_1074,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1074,HGNC_174,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1077,HGNC_1069,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1069,HGNC_1077,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1078,HGNC_1069,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1069,HGNC_1078,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_171,HGNC_1073,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1073,HGNC_171,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_174,HGNC_1073,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1073,HGNC_174,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_2436,HGNC_6011,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6011,HGNC_2436,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6012,HGNC_6011,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6011,HGNC_6012,uniprot,receptor_of,Curated_relationship,CellPhoneDB
HGNC_6003,HGNC_17119,"Rutz et al., Nat Rev. 2014",receptor_of,Curated_relationship,CellPhoneDB
HGNC_17119,HGNC_6003,"Rutz et al., Nat Rev. 2014",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5965,HGNC_17119,"Rutz et al., Nat Rev. 2014",receptor_of,Curated_relationship,CellPhoneDB
HGNC_17119,HGNC_5965,"Rutz et al., Nat Rev. 2014",receptor_of,Curated_relationship,CellPhoneDB
HGNC_1076,HGNC_4220,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4220,HGNC_1076,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_174,HGNC_4220,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4220,HGNC_174,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_18788,HGNC_14895,"Induces NK Cell Activation. Reviewed in PMID: 24223577. 1kcg, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_14895,HGNC_18788,"Induces NK Cell Activation. Reviewed in PMID: 24223577. 1kcg, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_16977,HGNC_14895,"Induces NK Cell Activation. Reviewed in PMID: 24223577. 1kcg, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_14895,HGNC_16977,"Induces NK Cell Activation. Reviewed in PMID: 24223577. 1kcg, PDB partially",receptor_of,Curated_relationship,CellPhoneDB
HGNC_172,HGNC_4216,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4216,HGNC_172,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_174,HGNC_4216,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_4216,HGNC_174,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_5988,HGNC_15563,"See paper Nold-Petry et al., 2015",receptor_of,Curated_relationship,CellPhoneDB
HGNC_15563,HGNC_5988,"See paper Nold-Petry et al., 2015",receptor_of,Curated_relationship,CellPhoneDB
HGNC_30575,HGNC_15563,"See paper Nold-Petry et al., 2015",receptor_of,Curated_relationship,CellPhoneDB
HGNC_15563,HGNC_30575,"See paper Nold-Petry et al., 2015",receptor_of,Curated_relationship,CellPhoneDB
HGNC_5985,HGNC_16948,NA IL17E called IL25,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16948,HGNC_5985,NA IL17E called IL25,receptor_of,Curated_relationship,CellPhoneDB
HGNC_18015,HGNC_16948,NA IL17E called IL25,receptor_of,Curated_relationship,CellPhoneDB
HGNC_16948,HGNC_18015,NA IL17E called IL25,receptor_of,Curated_relationship,CellPhoneDB
HGNC_173,HGNC_1074,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1074,HGNC_173,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_1078,HGNC_21650,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
HGNC_21650,HGNC_1078,PMID: 22710174,receptor_of,Curated_relationship,CellPhoneDB
